YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WD50M,PM2.5
2021,3,17,30.54,6.75,18.65,33.13,38.53,22.63,6.41,24.44,0,96.34,2.22,3.13,1.12,106.94,3.7,6.71,1.02,106.75,68.83333333
2021,3,18,31.33,8.85,20.09,33.15,38.39,23.98,7.39,25.88,0.01,96.34,2.36,4.32,0.7,143.56,3.64,6.34,1,144.56,59.91666667
2021,3,19,31.04,9.77,20.4,33.26,36.91,25.68,7.81,27.69,0.21,96.34,1.78,2.98,0.15,133.88,3.04,5.99,0.18,134,46.08333333
2021,3,20,30.67,10.52,20.59,33.32,37.69,22.74,8.24,30.5,0.85,96.26,2.19,3.2,1.1,122.88,3.56,6.47,1.37,125.56,43.66666667
2021,3,21,31.23,9.03,20.12,33.51,38.65,24.02,7.51,27.12,0.02,96.24,2.82,4.82,0.66,145.56,4.5,7.07,0.94,146.19,49.125
2021,3,22,31.01,9.15,20.08,33.56,38.07,23.33,7.51,27.19,0.59,96.44,2.35,3.34,1.23,134.5,3.88,6.88,1.59,135.31,56.70833333
2021,3,23,31.83,9.81,20.83,34.22,38.84,25.13,7.87,27.19,0.1,96.51,3.26,5.15,1.96,97.06,4.82,6.06,2.89,98.06,43.91666667
2021,3,24,31.5,9.37,20.43,34.08,38.98,23.73,7.63,26.81,0.1,96.53,3.19,4.51,2.38,70.25,4.95,7.82,2.57,71,54
2021,3,25,31.67,8.2,19.94,33.98,39.16,23.96,7.02,24.62,0,96.41,2.99,3.98,2.22,88.75,4.91,7.08,2.77,88.12,63.41666667
2021,3,26,30.56,4.23,17.4,32.73,39.36,22.29,5.37,20.81,0,96.42,3.91,5.59,2.89,26.62,5.91,7.04,4.41,26.5,57.20833333
2021,3,27,30.7,1.38,16.04,33.08,40.57,21.25,4.39,16.81,0,96.3,3.24,4.12,2.35,110.69,5.21,7.21,2.41,110.06,68.08333333
2021,3,28,31,0.26,15.63,33.23,40.98,21.86,4.03,15.25,0,96.23,2.76,3.86,1.1,36.12,4.16,6.31,1.26,35.56,85.58333333
2021,3,29,32.48,0.4,16.44,33.55,41.54,23.28,4.03,14,0,96.16,2.32,3.41,0.68,61.06,3.11,4.5,0.95,60.69,69.33333333
2021,3,30,32.05,0.88,16.47,33.21,41.6,21.99,4.21,14.31,0,96.02,3.51,5.46,0.05,301.06,5.06,7.06,0.09,300.44,52.45833333
2021,3,31,31.3,-0.41,15.44,33.36,41.93,20.44,3.85,14.5,0,95.91,4.16,5.23,3.13,324,6.58,8.66,4.7,324.31,43.875
2021,4,1,31.99,5.38,18.69,34.17,41.3,23.2,5.98,21.69,0,95.85,4.06,5.38,3.07,276.12,6.26,8.84,4.19,276.31,50.45833333
2021,4,2,31.19,0.22,15.7,33.44,40.8,21.94,4.03,15.06,0,95.95,3.48,4.86,2.78,245.38,5.18,7.65,3.11,245.06,59.95833333
2021,4,3,32.05,-0.48,15.78,34.59,41.57,22.32,3.85,12.88,0,96,2.79,3.91,1.15,151.31,4.47,8.48,1.09,150.69,68.125
2021,4,4,31.65,-1.95,14.85,33.57,41.14,22.6,3.42,12.12,0,96.2,3.67,4.41,2.64,76.5,5.62,8.52,4.02,91.25,65.29166667
2021,4,5,31.64,-0.02,15.8,33.4,41.12,22.37,3.91,13.88,0,96.28,2.95,4.25,2.21,51.88,4.23,6.24,3.19,51.69,52.33333333
2021,4,6,33,3.87,18.44,35.37,41.94,22.9,5.25,17.56,0,96.26,2,3.11,0.92,90.31,3.05,5.83,0.97,90.06,50.58333333
2021,4,7,33.21,7.55,20.38,35.97,41.69,23.74,6.84,22.81,0,96.31,2.34,4.1,0.67,195.31,3.56,6.88,0.75,194.19,48
2021,4,8,33.66,8.93,21.3,36.4,41.5,25.08,7.45,23.19,0,96.15,2.36,4.94,1.12,204.81,3.73,8.02,1.23,204.75,56.91666667
2021,4,9,33.34,12.95,23.15,35.82,39.62,28.16,9.7,30.06,0.01,96.16,2.95,4.95,1.84,213.06,4.19,7.79,2.04,212.75,50.70833333
2021,4,10,33.51,11.61,22.56,36.58,40.62,26.55,8.85,27.38,0.03,96.33,1.88,2.76,1.28,168,2.73,3.89,1.44,168.44,45.91666667
2021,4,11,32.76,13.19,22.98,35.6,38.87,26.53,9.89,32,1.66,96.5,1.85,4.49,0.72,133.5,2.82,5.49,0.84,132.31,30.95833333
2021,4,12,32.74,11.4,22.08,35.2,39.51,25.71,8.73,28.5,0.8,96.52,2.97,4.41,2.06,90.38,4.45,5.79,3.35,90.19,48.54166667
2021,4,13,32.95,9.61,21.28,35.63,40.81,24.76,7.87,26.5,1.42,96.44,3.17,4.11,2.11,98.81,4.88,7.05,2.36,97.38,35.79166667
2021,4,14,31.3,15.01,23.15,34,37.4,24.65,11.17,39.88,3.81,96.41,2.36,4.18,0.7,164.19,3.84,6.48,0.66,161.81,29.75
2021,4,15,31.26,12.87,22.07,35.13,38.49,24.15,9.89,36.56,0.41,96.36,1.66,3.11,0.38,180.88,2.73,6.55,0.52,194.25,29.54166667
2021,4,16,31.59,10.33,20.96,34.23,40.06,22.79,8.24,30.38,0,96.26,3.44,4.78,1.37,97.69,5.35,8.27,1.25,96.38,39.95833333
2021,4,17,32.12,10.96,21.54,35.44,40.37,23.59,8.61,30.56,0,96.33,2.45,3.5,1.12,199.25,3.91,7.17,1.17,198.62,35.83333333
2021,4,18,33.45,9.42,21.44,36.19,41.41,25.08,7.69,24.75,0,96.37,2.02,2.98,0.88,37.62,2.79,4.8,1.66,36.62,47.04166667
2021,4,19,34.19,8.29,21.24,36.96,41.66,26.43,7.14,21.81,0,96.14,2.14,3.49,0.83,100.69,2.91,4.52,1.6,70.38,38.33333333
2021,4,20,34.46,8.5,21.48,37.05,41.67,27.35,7.26,21.62,0,96.01,1.94,2.75,0.3,213.19,2.59,4.52,0.55,198.12,32.625
2021,4,21,33.11,11.07,22.09,35.05,40.3,26.58,8.61,27.06,0.01,96.23,4.12,7.54,0.8,313.12,5.39,9.06,1.29,313.75,29.66666667
2021,4,22,32.57,10.15,21.37,34.95,39.94,26.21,8.18,27.69,0,96.31,2.8,4.61,1.82,42.19,4.08,5.22,3.1,41.69,34.125
